serial, 256, 1, 100, 0.048013
serial, 512, 1, 100, 0.110143
serial, 1024, 1, 100, 0.218016
serial, 2048, 1, 100, 0.848374
serial, 4096, 1, 100, 3.414924
serial, 8192, 1, 100, 13.633248
serial, 16384, 1, 100, 54.660771
serial, 256, 4, 100, 0.014903
serial, 512, 4, 100, 0.057748
serial, 1024, 4, 100, 0.226309
serial, 2048, 4, 100, 0.895016
serial, 4096, 4, 100, 3.559934
serial, 8192, 4, 100, 14.239883
serial, 16384, 4, 100, 57.797932
serial, 256, 16, 100, 0.017143
serial, 512, 16, 100, 0.066682
serial, 1024, 16, 100, 0.262630
serial, 2048, 16, 100, 1.051911
serial, 4096, 16, 100, 4.145434
serial, 8192, 16, 100, 16.578274
serial, 16384, 16, 100, 66.866427
serial, 256, 64, 100, 0.026711
serial, 512, 64, 100, 0.104834
serial, 1024, 64, 100, 0.415321
serial, 2048, 64, 100, 1.651571
serial, 4096, 64, 100, 6.684300
serial, 8192, 64, 100, 26.369912
serial, 16384, 64, 100, 107.412841
serial, 256, 256, 100, 0.063512
serial, 512, 256, 100, 0.251780
serial, 1024, 256, 100, 1.001679
serial, 2048, 256, 100, 4.012104
serial, 4096, 256, 100, 16.036892
serial, 8192, 256, 100, 64.310819
serial, 16384, 256, 100, 257.472167
